Имя,Категория,Гео,Статус
Mylène Farmer,Паразиты,Франция,Согласована
Daniel Auteuil,Паразиты,Франция,Согласована
Jean,Паразиты,Франция,Согласована
Fabrice Luchini,Паразиты,Франция,Согласована
Isabelle Huppert,Паразиты,Франция,Согласована
Laurent Voulzy,Паразиты,Франция,Согласована
alexandra lamy,Паразиты,Франция,Согласована
Eric Judor,Паразиты,Франция,Согласована
Omar Sy,Паразиты,Франция,Согласована
David Pujadas,Паразиты,Франция,Согласована
Anne,Паразиты,Франция,Согласована
Laurence Ferrari,Паразиты,Франция,Согласована
Sylvie Guillem,Паразиты,Франция,Согласована
Aurélie Dupont,Паразиты,Франция,Согласована
Zinedine Zidane,Простатит,Франция,Согласована
Daniel Auteuil,Простатит,Франция,Согласована
Jean,Простатит,Франция,Согласована
Fabrice Luchini,Простатит,Франция,Согласована
Eric Judor,Простатит,Франция,Согласована
Omar Sy,Простатит,Франция,Согласована
David Pujadas,Простатит,Франция,Согласована
Mireille Mathieu,Вальгус,Франция,Согласована
Arielle Dombasle,Вальгус,Франция,Согласована
Dr. Marina Carrère d'Encausse,Вальгус,Франция,Согласована
Catherine Deneuve,Вальгус,Франция,Согласована
Isabelle Adjani,Вальгус,Франция,Согласована
Fanny Ardant,Вальгус,Франция,Согласована
Mylène Farmer,Вальгус,Франция,Согласована
Isabelle Huppert,Вальгус,Франция,Согласована
Alexandra Lamy,Вальгус,Франция,Согласована
Anne,Вальгус,Франция,Согласована
Laurence Ferrari,Вальгус,Франция,Согласована
Sylvie Guillem,Вальгус,Франция,Согласована
Aurélie Dupont,Вальгус,Франция,Согласована
Gérald Kierzek,Вальгус,Франция,Черный список
Michel Cymes,Вальгус,Франция,Согласована
Dr. Christian Recchia,Вальгус,Франция,Согласована
Dr. Laurent Grange,Вальгус,Франция,Согласована
Isabelle Adjani,Суставы,Франция,Согласована
Patrick Bruel,Диабет,Франция,Согласована
Patrick Poivre d'Arvor,Гипертония,Франция,Черный список
Julien Clerc  а,Гипертония,Франция,Черный список
Prof. François Carré,Гипертония,Франция,Согласована
Prof. Michel Komajda,Гипертония,Франция,Согласована
Dr. Frédéric Saldmann,Гипертония,Франция,Согласована
Prof. Claire Mounier,Гипертония,Франция,Согласована
Prof. Gilbert Habib,Гипертония,Франция,Согласована
Dr. Dominique Guedj,Гипертония,Франция,Согласована
Dr. Marina Carrère d'Encausse,Гипертония,Франция,Черный список
Le professeur Didier Raoult,Гипертония,Франция,Черный список
Jean reno  актер,Гипертония,Франция,Согласована
Mireille Mathieu,Гипертония,Франция,Согласована
Francis Cabrel,Гипертония,Франция,Согласована
Мишель Симон,Потенция,Франция,Черный список
Жан,Потенция,Франция,Черный список
Жан,Потенция,Франция,Согласована
Ален Делон,Потенция,Франция,Согласована
Dr. Siegfried Meryn,паразиты,Австрия,Черный список
Eckart von Hirschhausen,паразиты,Австрия,Согласована
Dr. Thomas Szekeres,паразиты,Австрия,Согласована
Dr. Johannes Wimmer,паразиты,Австрия,Согласована
Dr. Christoph Wenisch,паразиты,Австрия,Согласована
Dr. Herwig Kollaritsch,паразиты,Австрия,Согласована
Dr. Florian Thalhammer,паразиты,Австрия,Согласована
Christoph Waltz,паразиты,Австрия,Согласована
Klaus Maria Brandauer,паразиты,Австрия,Согласована
Thomas Gottschalk,паразиты,Австрия,Согласована
Günther Jauch,паразиты,Австрия,Согласована
Rainhard Fendrich,паразиты,Австрия,Черный список
Wolfgang Ambros,паразиты,Австрия,Согласована
Tobias Moretti,паразиты,Австрия,Согласована
Peter Simonischek,паразиты,Австрия,Согласована
Jacques Breuer,паразиты,Австрия,Согласована
Günther Jauch,Суставы,Австрия,Черный список
Günther Jauch,Простатит,Австрия,Черный список
Christoph Waltz,Суставы,Австрия,Согласована
Christoph Waltz,Простатит,Австрия,Согласована
Eckart von Hirschhausen,Суставы,Австрия,Черный список
Eckart von Hirschhausen,Простатит,Австрия,Черный список
Eckart von Hirschhausen,Потенция,Австрия,Черный список
Хельмут Бергер,Потенция,Австрия,Согласована
Dr. Johannes Wimmer,Потенция,Австрия,Согласована
Dr. Yael Adler,Потенция,Австрия,Согласована
Tobias Weigl,Потенция,Австрия,Согласована
Dr. Michael Frass,Потенция,Австрия,Согласована
Dr. Julia Berkei,Потенция,Австрия,Согласована
Prof. Dr. Rainer Hofmann,Потенция,Австрия,Согласована
Dr. Gerald Ch. Loho,Потенция,Австрия,Согласована
Harald Krassnitzer,Потенция,Австрия,Согласована
Арнольд Шварценеггер,Потенция,Австрия,Черный список
Адриано Челентано,Потенция,Италия,Согласована
Адриано Челентано,суставы ,Италия,Согласована
Адриано Челентано,паразиты,Италия,Черный список
Адриано Челентано,простатит ,Италия,Черный список
Адриано Челентано,слух,Италия,Черный список
Алена Середова,Похудение,Италия,Согласована
Геппи Куччари,Похудение,Италия,Согласована
Джанлука Вакки,Потенция,Италия,Черный список
Джо Бастианич,Похудение,Италия,Согласована
Джулия Салеми,Похудение,Италия,Согласована
Доктор Марио Карминати,Гипертония,Италия,Согласована
Доктор Марио Карминати,Диабет,Италия,Согласована
Доктор Паоло Эмилио Делла Белла (Dott. Paolo Emilio Della,Гипертония,Италия,Согласована
Доктор Паоло Эмилио Делла Белла (Dott. Paolo Emilio Della,Диабет,Италия,Согласована
Клаудия Джерини,Похудение,Италия,Согласована
Кристиан Де Сика,Похудение,Италия,Согласована
Лаура Паузини,Вальгус,Италия,Черный список
Лаура Паузини,Суставы,Италия,Черный список
Лаура Паузини,паразиты,Италия,Черный список
Лаура Паузини,Простатит,Италия,Черный список
Маргерита Буй,Вальгус,Италия,Согласована
Маргерита Буй,Суставы,Италия,Согласована
Маргерита Буй,паразиты,Италия,Согласована
Маргерита Буй,Простатит,Италия,Согласована
Маттео Гранди,Похудение,Италия,Черный список
Ноэми,Похудение,Италия,Согласована
Папа Римский,Похудение,Италия,Черный список
Пино Даниеле,Гипертония,Италия,Согласована
Профессор Джузеппе Манча,Гипертония,Италия,Согласована
Профессор Джузеппе Манча,Диабет,Италия,Согласована
Профессор Стефано Дель Прато,Гипертония,Италия,Согласована
Профессор Стефано Дель Прато,Диабет,Италия,Согласована
Роберто Бениньи,Потенция,Италия,Согласована
Рокко Сиффреди/Rocco Siffredi,Потенция,Италия,Согласована
Сильвио Берлускони,Потенция,Италия,Черный список
Франко Баттиато,Паразиты,Италия,Согласована
Элеттра Ламборгини,Похудение,Италия,Согласована
Эцио Греджо,Потенция,Италия,Согласована
Adriana Albini,Похудение,Италия,Согласована
Adriano Panzironi,Похудение,Италия,Согласована
Al Bano,Потенция,Италия,Согласована
Albano Carrisi,Похудение,Италия,Согласована
Alberto Angela,Суставы,Италия,Черный список
Alberto Angela,Паразиты,Италия,Черный список
Alberto Angela,Простатит,Италия,Черный список
Alberto Mantovani,Вальгус,Италия,Согласована
Alberto Mantovani,Суставы,Италия,Согласована
Alberto Mantovani,Паразиты,Италия,Согласована
Alberto Mantovani,Простатит,Италия,Согласована
Alessandra Ferri,Вальгус,Италия,Согласована
Antonella Clerici,Похудение,Италия,Черный список
Antonio Gasbarrini,Паразиты,Италия,Согласована
Antonio Gasbarrini,Суставы,Италия,Согласована
Antonio Gasbarrini,простатит ,Италия,Согласована
Antonio Gasbarrini,слух,Италия,Согласована
Benedetta Rossi,Похудение,Италия,Согласована
Bruno Vespa,Суставы,Италия,Черный список
Bruno Vespa,Паразиты,Италия,Черный список
Bruno Vespa,Простатит,Италия,Черный список
Carlo Conti,суставы ,Италия,Согласована
Carlo Conti,простатит ,Италия,Согласована
Carlo Conti,слух,Италия,Согласована
Carlo Conti,паразиты,Италия,Согласована
Carlo Verdone,Паразиты,Италия,Согласована
Carlo Verdone,Суставы,Италия,Согласована
Carlo Verdone,слух,Италия,Согласована
Carlo Verdone,простатит ,Италия,Согласована
CAROLINA MARCIALIS,Похудение,Италия,Согласована
Christian De Sica,Гипертония,Италия,Согласована
Christian De Sica,Диабет,Италия,Согласована
Dott. Guido Bertolaso,Гипертония,Италия,Согласована
Dott. Guido Bertolaso,Диабет,Италия,Согласована
Dott. Ivan Lurgo,Похудение,Италия,Согласована
Dott. Silvio Garattini,Гипертония,Италия,Согласована
Dott. Silvio Garattini,Диабет,Италия,Согласована
Dr. Andrea Salonia,простатит ,Италия,Согласована
Dr. Fabrizio Quattrini,суставы ,Италия,Согласована
Dr. Giovanni Angiolini,суставы ,Италия,Согласована
dr. giovanni rezza,паразиты,Италия,Согласована
Dr. Massimo Galli,паразиты,Италия,Согласована
Dr. Natalia Mazzarella,Похудение,Италия,Согласована
Dr. Roberto Cauda,паразиты,Италия,Согласована
Dr. Valerio Rosso,Паразиты,Италия,Согласована
Dr. Valerio Rosso,Суставы,Италия,Согласована
Dr. Valerio Rosso,слух,Италия,Согласована
Dr. Valerio Rosso,простатит ,Италия,Согласована
Dr. Vincenzo Mirone,простатит ,Италия,Согласована
Emanuela Russo,Похудение,Италия,Согласована
Enrico Mentana,Суставы,Италия,Черный список
Enrico Mentana,Паразиты,Италия,Черный список
Enrico Mentana,Простатит,Италия,Черный список
Eros Ramazzotti,суставы ,Италия,Согласована
Eros Ramazzotti,простатит ,Италия,Согласована
Eros Ramazzotti,паразиты,Италия,Согласована
Eros Ramazzotti,слух,Италия,Согласована
Fabiana Rossi,Похудение,Италия,Согласована
Fabrizio Angelini,Похудение,Италия,Согласована
Franco Berrino,Похудение,Италия,Согласована
Gianna Nannini,суставы ,Италия,Согласована
Gianna Nannini,Вальгус,Италия,Согласована
Gianna Nannini,паразиты,Италия,Согласована
Gianna Nannini,простатит ,Италия,Согласована
Gianna Nannini,слух,Италия,Согласована
Gianni Morandi,Потенция,Италия,Черный список
Giorgio Calabrese,Похудение,Италия,Согласована
Iva Zanicchi,Похудение,Италия,Черный список
Laura Pausini,Похудение,Италия,Согласована
Licia Colò,Вальгус,Италия,Согласована
Licia Colò,Суставы,Италия,Согласована
Licia Colò,паразиты,Италия,Согласована
Licia Colò,простатит,Италия,Согласована
Lino Banfi,Похудение,Италия,Согласована
Lino Banfi,Гипертония,Италия,Согласована
Lino Banfi,Диабет,Италия,Согласована
Lino Banfi,Потенция,Италия,Согласована
Lorenzo Bianchi,Похудение,Италия,Согласована
Luciano Ligabue,суставы ,Италия,Согласована
Luciano Ligabue,паразиты,Италия,Черный список
Luciano Ligabue,простатит ,Италия,Черный список
Luciano Ligabue,слух,Италия,Черный список
Manuela Mapelli,Похудение,Италия,Согласована
Marco Giallini,Суставы,Италия,Согласована
Marco Giallini,паразиты,Италия,Согласована
Marco Giallini,Простатит,Италия,Согласована
Massimo Giletti,Суставы,Италия,Черный список
Massimo Giletti,паразиты,Италия,Черный список
Massimo Giletti,Простатит,Италия,Черный список
Massimo Massetti,Гипертония,Италия,Согласована
Massimo Massetti,Диабет,Италия,Согласована
Massimo Ranieri,гипертония,Италия,Согласована
Massimo Ranieri,Потенция,Италия,Согласована
Matteo Bassetti,Суставы,Италия,Черный список
Matteo Bassetti,Простатит,Италия,Черный список
Matteo Bassetti,Слух,Италия,Черный список
Matteo Bassetti,Потенция,Италия,Согласована
Matteo Bassetti,паразиты,Италия,Черный список
Dott. Matteo Bassetti,Гипертония,Италия,Согласована
Dott. Matteo Bassetti,Диабет,Италия,Согласована
Monica Bellucci,суставы ,Италия,Согласована
Monica Bellucci,Вальгус,Италия,Согласована
Monica Bellucci,простатит ,Италия,Согласована
Monica Bellucci,слух,Италия,Согласована
Monica Bellucci,паразиты,Италия,Согласована
Orietta Berti,Похудение,Италия,Согласована
PAOLO BONOLIS,Паразиты,Италия,Черный список
PAOLO BONOLIS,Суставы,Италия,Черный список
Paolo Veronesi,Потенция,Италия,Согласована
Piero Mozzi,Гипертония,Италия,Согласована
Piero Mozzi,Диабет,Италия,Согласована
Raffaella Carrà,Паразиты,Италия,Согласована
Renato Pozzetto,Потенция,Италия,Согласована
Renato Zero,Паразиты,Италия,Согласована
Renato Zero,Суставы,Италия,Согласована
Renato Zero,слух,Италия,Согласована
Renato Zero,простатит ,Италия,Согласована
Renzo Arbore,Похудение,Италия,Согласована
Renzo Arbore,Гипертония,Италия,Согласована
Renzo Arbore,Диабет,Италия,Согласована
Roberto Benigni,суставы ,Италия,Согласована
Roberto Benigni,паразиты,Италия,Согласована
Roberto Benigni,простатит ,Италия,Согласована
Roberto Benigni,слух,Италия,Согласована
Roberto Burion,Вальгус,Италия,Черный список
Roberto Burioni,Потенция,Италия,Согласована
Roberto Burioni,Суставы,Италия,Черный список
Roberto Burioni,паразиты,Италия,Черный список
Roberto Burioni,Простатит,Италия,Черный список
Silvio Orlando,Суставы,Италия,Согласована
Silvio Orlando,паразиты,Италия,Согласована
Silvio Orlando,Простатит,Италия,Согласована
Sophia Loren,Диабет,Италия,Согласована
Stefania Sandrelli,Вальгус,Италия,Согласована
Stefania Sandrelli,Суставы,Италия,Согласована
Stefania Sandrelli,паразиты,Италия,Согласована
Stefania Sandrelli,Простатит,Италия,Согласована
Teo Teocoli,суставы ,Италия,Согласована
Teo Teocoli,паразиты,Италия,Согласована
Teo Teocoli,слух,Италия,Согласована
Teo Teocoli,простатит ,Италия,Согласована
Toni Servillo,суставы ,Италия,Согласована
Toni Servillo,простатит ,Италия,Согласована
Toni Servillo,паразиты,Италия,Согласована
Toni Servillo,слух,Италия,Согласована
Vanessa Incontrada,Похудение,Италия,Согласована
Vasco Ross,Гипертония,Италия,Согласована
Zucchero Fornaciari,Суставы,Италия,Согласована
Zucchero Fornaciari,паразиты,Италия,Согласована
Zucchero Fornaciari,Простатит,Италия,Согласована
Sophia Loren,грибок,Италия,Черный список
Monica Bellucci,грибок,Италия,Черный список
Claudia Cardinale,грибок,Италия,Согласована
Nicolo Barella,грибок,Италия,Согласована
Gianluigi Donnarumma,грибок,Италия,Согласована
Federico Chiesa,грибок,Италия,Согласована
Alessandro Bastoni,грибок,Италия,Согласована
Davide Frattesi,грибок,Италия,Согласована
Оливер Драгоевич,Паразиты,Хорватия,Согласована
Лука Модрич,Вальгус,Хорватия,Согласована
Николай Пешалов,Вальгус,Хорватия,Согласована
Dinko Tončić,Паразиты,Хорватия,Согласована
Igor Rudan,Паразиты,Хорватия,Согласована
Prof. Davor Mijatović,Паразиты,Хорватия,Согласована
Лили Иванова,Цистит,Болгария,Черный список
Пламена Пилитова,Цистит,Болгария,Черный список
Д,Похудение,Болгария,Черный список
Асен Дудов,Паразиты,Болгария,Согласована
Георги Стаменов,Паразиты,Болгария,Согласована
Виктор Калев,Паразиты,Болгария,Согласована
Ники Канчев,Паразиты,Болгария,Черный список
Николай Брънзалов,Паразиты,Болгария,Согласована
Асен Дудов,Cуставы,Болгария,Согласована
Николай Брънзалов,Cуставы,Болгария,Согласована
Мария Гроздева,Cуставы,Болгария,Согласована
Стефка Костадинова,Cуставы,Болгария,Согласована
Ники Канчев,Cуставы,Болгария,Черный список
Георги Стаменов,Потенция,Болгария,Согласована
Бойко Василев,Гипертония,Болгария,Черный список
Добрина Чешмеджиев,Гипертония,Болгария,Черный список
Цветанка Ризова,Гипертония,Болгария,Черный список
Неделя Щонова,Гипертония,Болгария,Согласована
Jan Pirk,Гипертония,Чехия,Черный список
Petr Neužil,Гипертония,Чехия,Согласована
Гелена Вондрачкова,Похудение ,Чехия,Черный список
Марта Кубишова,Похудение ,Чехия,Согласована
Джозеф Клим,Суставы,Чехия,Черный список
Якубко Мартин футболист,Суставы,Словакия,Согласована
Петер Саган велогонщик,Суставы,Словакия,Согласована
Доминика Цибулкова теннисистка,Суставы,Словакия,Согласована
Jana Oľhová,Цистит,Словакия,Согласована
Jana Oľhová,Омоложение,Словакия,Согласована
Anna Javorková,Цистит,Словакия,Согласована
Anna Javorková,Омоложение,Словакия,Согласована
Szidi Tobias,Цистит,Словакия,Согласована
Szidi Tobias,Омоложение,Словакия,Согласована
Lena Košická,Цистит,Словакия,Согласована
Lena Košická,Омоложение,Словакия,Согласована
Kamila Magálová,Цистит,Словакия,Согласована
Kamila Magálová,Омоложение,Словакия,Согласована
Maroš Kramár,Потенция,Словакия,Согласована
Jiří Bartoška,Потенция,Словакия,Согласована
Vladimír Jedľovský,Потенция,Словакия,Согласована
František Kovár,Потенция,Словакия,Согласована
